Villeurbanne,Rhône,Auvergne Rhône-Alpes
Evry,Essonne,Île-de-France
Paris,Paris,Île-de-France
Lille,Nord,Nord-Pas-de-Calais-Picardie
Bordeaux,Gironde,Aquitaine Limousin Poitou-Charentes
Saclay,Essonne,Île-de-France
Chappes,Puy-de-Dôme,Auvergne Rhône-Alpes
Clermont Ferrand,Puy-de-Dôme,Auvergne Rhône-Alpes
Toulouse,Haute-Garonne,Languedoc-Roussillon Midi-Pyrénées
Limoges,Haute-Vienne,Aquitaine Limousin Poitou-Charentes
Brest,Finistère,Bretagne
Montpellier,Hérault,Languedoc-Roussillon Midi-Pyrénées
Reims,Marne,Alsace-Champagne-Ardenne-Lorraine
Marcy L'Etoile,Rhône,Auvergne Rhône-Alpes
Lyon,Rhône,Auvergne Rhône-Alpes
Turku,Étranger,Étranger
Dijon,Côte-d'Or,Bourgogne Franche-Comté
Cork,Étranger,Étranger
Gent,Étranger,Étranger
Graz,Étranger,Étranger
Angers,Maine-et-Loire,Pays de la Loire
Grenoble,Isère,Auvergne Rhône-Alpes
Cambridge,Étranger,Étranger
Gif Sur Yvette,Essonne,Île-de-France
Bremen,Étranger,Étranger
Jouy En Josas,Yvelines,Île-de-France
Orléans,Loiret,Centre-Val de Loire
Ploufragan,Côtes-d'Armor,Bretagne
Nantes,Loire-Atlantique,Pays de la Loire
Oslo,Étranger,Étranger
Londres,Étranger,Étranger
Freiburg,Étranger,Étranger
Neuilly Sur Seine,Hauts-de-Seine,Île-de-France
Manchester,Étranger,Étranger
Versailles,Yvelines,Île-de-France
Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Mondonville,Haute-Garonne,Languedoc-Roussillon Midi-Pyrénées
Vitry Sur Seine,Val-de-Marne,Île-de-France
Chilly Mazarin,Essonne,Île-de-France
Glasgow,Étranger,Étranger
Rouen,Seine-Maritime,Normandie
Puteaux,Hauts-de-Seine,Île-de-France
Leiden,Étranger,Étranger
Uppsala,Étranger,Étranger
Rennes,Ille-et-Vilaine,Bretagne
Vélizy Villacoublay,Yvelines,Île-de-France
Québec,Étranger,Étranger
Bagnols Sur Cèze,Gard,Languedoc-Roussillon Midi-Pyrénées
Jeddah,Étranger,Étranger
Orsay,Essonne,Île-de-France
Issy Les Moulineaux,Hauts-de-Seine,Île-de-France
Loos,Nord,Nord-Pas-de-Calais-Picardie
Biot,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Maison Alfort,Loire-Atlantique,Pays de la Loire
Sophia Antipolis,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Pau,Pyrénées-Atlantiques,Aquitaine Limousin Poitou-Charentes
Athens,Étranger,Étranger
Cologne,Étranger,Étranger
Croissy Sur Seine,Yvelines,Île-de-France
Colmar,Haut-Rhin,Alsace-Champagne-Ardenne-Lorraine
Nîmes,Gard,Languedoc-Roussillon Midi-Pyrénées
Ithaca,Étranger,Étranger
Banyuls Sur Mer,Pyrénées-Orientales,Languedoc-Roussillon Midi-Pyrénées
Rodez,Aveyron,Languedoc-Roussillon Midi-Pyrénées
Clermont Ferrant,Puy-de-Dôme,Auvergne Rhône-Alpes
Cali,Étranger,Étranger
Roscoff,Finistère,Bretagne
Berlin,Étranger,Étranger
Bergen,Étranger,Étranger
Nouzilly,Indre-et-Loire,Centre-Val de Loire
Münster Germany,Étranger,Étranger
La Bohalle,Maine-et-Loire,Pays de la Loire
Saint Quentin En Yvelines,Yvelines,Île-de-France
Dunstaffnage,Étranger,Étranger
Amiens,Somme,Nord-Pas-de-Calais-Picardie
Fontenay Le Fleury,Yvelines,Île-de-France
Munich,Étranger,Étranger
Villefranche Sur Mer,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Antony,Hauts-de-Seine,Île-de-France
Leicester,Étranger,Étranger
Thiverval Grignon,Yvelines,Île-de-France
Strasbourg,Bas-Rhin,Alsace-Champagne-Ardenne-Lorraine
Castanet Tolosan,Haute-Garonne,Languedoc-Roussillon Midi-Pyrénées
Auzeville Tolosane,Haute-Garonne,Languedoc-Roussillon Midi-Pyrénées
London,Étranger,Étranger
Singapore,Étranger,Étranger
Villejuif,Val-de-Marne,Île-de-France
Nancy,Meurthe-et-Moselle,Alsace-Champagne-Ardenne-Lorraine
Cappelle En Pévèle,Nord,Nord-Pas-de-Calais-Picardie
Velizy Villacoublay,Yvelines,Île-de-France
Basel,Étranger,Étranger
Saint Sauveur,Étranger,Étranger
Aachen,Étranger,Étranger
Montréal,Étranger,Étranger
Région De Lyon,Étranger,Étranger
